"","PrecNo","PrecName","Tot","D2Pre","D2Sen","D2Att","D2Aud","D2Tre","ROSen","ROAtt","ROAud","ROTre"
"1",1,"BELLEFONTE NORTH",391,51.93,47.74,50.92,51.05,51.91,1.28,2.3,6.91,5.88
"2",2,"BELLEFONTE NORTHEAST",687,40.22,39.4,39.79,42.72,42.28,0.59,1.62,3.24,3.53
"3",3,"BELLEFONTE SOUTH",461,54.37,54.52,57.33,58.19,57.54,1.09,1.31,1.97,2.19
"4",4,"BELLEFONTE SOUTHEAST",718,43.01,43.07,44.51,47.44,44.52,1.26,3.35,4.46,5.02
"5",5,"BELLEFONTE WEST",928,52.68,53.4,55.38,58.41,58.32,1.19,2.06,3.36,3.25
"6",6,"CENTRE HALL",709,34.18,37.4,40.12,39.84,40.65,0.85,1.98,3.25,3.82
"7",7,"HOWARD BORO",377,34.86,36.26,37.03,41.02,40.31,0.8,1.86,1.86,2.39
"8",8,"MILESBURG",525,28.89,35.98,38.39,39.02,40.04,2.49,2.68,4.21,4.21
"9",9,"MILLHEIM",423,42.04,43.59,44.71,51.71,50.42,0.71,1.19,2.14,2.61
"10",10,"PHILIPSBURG 1ST WARD",449,37.5,39.47,38.25,44.25,44.72,0.9,2.24,2.91,3.81
"11",11,"PHILIPSBURG 2ND WARD",391,38.24,41.52,44.27,47.14,47.51,0,0.26,1.04,1.56
"12",12,"PHILIPSBURG 3RD WARD",359,36.9,40.89,43.47,44.94,43.91,1.39,1.95,4.18,4.46
"13",13,"PORT MATILDA",280,26.42,31.08,34.18,35.18,39.6,-0.36,0.36,0.72,1.81
"14",14,"SNOW SHOE BORO",329,26.02,31.33,32.81,34.01,37.41,0.91,3.65,4.56,5.78
"15",15,"RUSH NORTH CENTRAL",197,31.67,33.52,45.08,43.6,45.78,0.51,1.03,5.13,5.64
"16",16,"SC NORTH",638,82.91,77.2,76.12,78.58,76.98,0.47,1.26,4.25,4.41
"17",17,"SC NORTHEAST",539,79.17,72.78,73.51,74.69,72.86,0.75,2.24,3.18,2.99
"18",18,"SC NORTHWEST",1361,73.42,63.52,66.46,63.84,63.3,1.62,4.12,5.59,5.59
"19",19,"SC SOUTH 1",1288,75.77,72.28,72.3,72.48,71.51,1.01,2.1,4.05,3.82
"20",20,"SC SOUTH 2",1081,72.52,68.39,68.31,68.43,68.47,0.37,1.68,2.42,2.33
"21",21,"SC SOUTHEAST",866,76.47,71.19,70.62,72.72,71.3,0.23,1.86,1.86,2.21
